nohup: ignoring input
训练次数：1500, Loss: 0.04943852126598358
训练次数：1510, Loss: 0.037897441536188126
训练次数：1520, Loss: 0.05574163421988487
训练次数：1530, Loss: 0.053337134420871735
训练次数：1540, Loss: 0.07042605429887772
训练次数：1550, Loss: 0.09290697425603867
训练次数：1560, Loss: 0.10505031049251556
训练次数：1570, Loss: 0.1557425856590271
训练次数：1580, Loss: 0.0632195770740509
训练次数：1590, Loss: 0.06165362149477005
训练次数：1600, Loss: 0.06362158805131912
训练次数：1610, Loss: 0.0636046752333641
训练次数：1620, Loss: 0.044510699808597565
训练次数：1630, Loss: 0.04353020340204239
训练次数：1640, Loss: 0.04272535443305969
训练次数：1650, Loss: 0.05323225259780884
训练次数：1660, Loss: 0.04050832241773605
训练次数：1670, Loss: 0.07135728746652603
训练次数：1680, Loss: 0.09676917642354965
训练次数：1690, Loss: 0.04462919756770134
训练次数：1700, Loss: 0.049154046922922134
训练次数：1710, Loss: 0.047887273132801056
训练次数：1720, Loss: 0.056173332035541534
训练次数：1730, Loss: 0.060983479022979736
训练次数：1740, Loss: 0.05065977945923805
训练次数：1750, Loss: 0.12207256257534027
训练次数：1760, Loss: 0.14724978804588318
训练次数：1770, Loss: 0.06528452038764954
训练次数：1780, Loss: 0.051156286150217056
训练次数：1790, Loss: 0.07350066304206848
训练次数：1800, Loss: 0.04368226230144501
训练次数：1810, Loss: 0.08620806783437729
训练次数：1820, Loss: 0.0659848302602768
训练次数：1830, Loss: 0.09715020656585693
训练次数：1840, Loss: 0.05520743876695633
训练次数：1850, Loss: 0.07193072885274887
训练次数：1860, Loss: 0.04060804098844528
训练次数：1870, Loss: 0.040264613926410675
训练次数：1880, Loss: 0.10284143686294556
训练次数：1890, Loss: 0.05887338146567345
训练次数：1900, Loss: 0.13386164605617523
训练次数：1910, Loss: 0.06029811128973961
训练次数：1920, Loss: 0.04063386470079422
训练次数：1930, Loss: 0.038973040878772736
训练次数：1940, Loss: 0.04163660481572151
训练次数：1950, Loss: 0.08908099681138992
训练次数：1960, Loss: 0.13267016410827637
训练次数：1970, Loss: 0.1959616094827652
训练次数：1980, Loss: 0.043692391365766525
训练次数：1990, Loss: 0.08098363131284714
训练次数：2000, Loss: 0.07834901660680771
训练次数：2010, Loss: 0.2265329360961914
训练次数：2020, Loss: 0.07534430176019669
训练次数：2030, Loss: 0.06422398239374161
训练次数：2040, Loss: 0.049313805997371674
训练次数：2050, Loss: 0.07305772602558136
训练次数：2060, Loss: 0.04220036789774895
训练次数：2070, Loss: 0.09552052617073059
训练次数：2080, Loss: 0.08110488206148148
训练次数：2090, Loss: 0.11742036789655685
训练次数：2100, Loss: 0.06850029528141022
训练次数：2110, Loss: 0.05196716636419296
训练次数：2120, Loss: 0.07000686973333359
训练次数：2130, Loss: 0.15998445451259613
训练次数：2140, Loss: 0.047418516129255295
训练次数：2150, Loss: 0.03775746747851372
训练次数：2160, Loss: 0.07044102996587753
训练次数：2170, Loss: 0.07085638493299484
训练次数：2180, Loss: 0.11045555025339127
训练次数：2190, Loss: 0.05957359820604324
训练次数：2200, Loss: 0.04359392821788788
训练次数：2210, Loss: 0.04121080040931702
训练次数：2220, Loss: 0.04253578186035156
训练次数：2230, Loss: 0.05171003192663193
训练次数：2240, Loss: 0.17597471177577972
训练次数：2250, Loss: 0.033228371292352676
训练次数：2260, Loss: 0.06293219327926636
训练次数：2270, Loss: 0.04985101521015167
训练次数：2280, Loss: 0.06860394030809402
训练次数：2290, Loss: 0.05439785122871399
