nohup: ignoring input
训练次数：10, Loss: 0.10856905579566956
训练次数：20, Loss: 0.0872562825679779
训练次数：30, Loss: 0.0909101665019989
训练次数：40, Loss: 0.09008253365755081
训练次数：50, Loss: 0.06779596954584122
训练次数：60, Loss: 0.06491760909557343
训练次数：70, Loss: 0.07681667059659958
训练次数：80, Loss: 0.060883693397045135
训练次数：90, Loss: 0.04580618441104889
训练次数：100, Loss: 0.04929039999842644
训练次数：110, Loss: 0.07180047780275345
训练次数：120, Loss: 0.06545061618089676
训练次数：130, Loss: 0.10587292909622192
训练次数：140, Loss: 0.1153428927063942
训练次数：150, Loss: 0.047820936888456345
训练次数：160, Loss: 0.04436173662543297
训练次数：170, Loss: 0.05001121386885643
训练次数：180, Loss: 0.16409388184547424
训练次数：190, Loss: 0.14012476801872253
训练次数：200, Loss: 0.10057771950960159
训练次数：210, Loss: 0.050717923790216446
训练次数：220, Loss: 0.03819882497191429
训练次数：230, Loss: 0.05853276327252388
训练次数：240, Loss: 0.09617022424936295
训练次数：250, Loss: 0.0691315084695816
训练次数：260, Loss: 0.05951741710305214
训练次数：270, Loss: 0.11767315864562988
训练次数：280, Loss: 0.060994554311037064
训练次数：290, Loss: 0.06074986234307289
训练次数：300, Loss: 0.08558735251426697
训练次数：310, Loss: 0.07419869303703308
训练次数：320, Loss: 0.08007851243019104
训练次数：330, Loss: 0.2344496101140976
训练次数：340, Loss: 0.06314588338136673
训练次数：350, Loss: 0.05041472241282463
训练次数：360, Loss: 0.16056406497955322
训练次数：370, Loss: 0.03595287352800369
训练次数：380, Loss: 0.08161931484937668
训练次数：390, Loss: 0.06747087091207504
训练次数：400, Loss: 0.04774419963359833
训练次数：410, Loss: 0.09236304461956024
训练次数：420, Loss: 0.06921609491109848
训练次数：430, Loss: 0.06593739241361618
训练次数：440, Loss: 0.07953330874443054
训练次数：450, Loss: 0.0994296669960022
训练次数：460, Loss: 0.05306212976574898
训练次数：470, Loss: 0.12205565720796585
训练次数：480, Loss: 0.18823322653770447
训练次数：490, Loss: 0.06779808551073074
训练次数：500, Loss: 0.07844365388154984
训练次数：510, Loss: 0.1397603303194046
训练次数：520, Loss: 0.0725361779332161
训练次数：530, Loss: 0.08331179618835449
训练次数：540, Loss: 0.1395401954650879
训练次数：550, Loss: 0.2795242667198181
训练次数：560, Loss: 0.19444037973880768
训练次数：570, Loss: 0.045421186834573746
训练次数：580, Loss: 0.06838277727365494
训练次数：590, Loss: 0.04951677471399307
训练次数：600, Loss: 0.06564438343048096
训练次数：610, Loss: 0.11583802849054337
训练次数：620, Loss: 0.09610103815793991
训练次数：630, Loss: 0.06015894189476967
训练次数：640, Loss: 0.1067299097776413
训练次数：650, Loss: 0.03274603933095932
训练次数：660, Loss: 0.052117425948381424
训练次数：670, Loss: 0.0503864660859108
训练次数：680, Loss: 0.08216531574726105
训练次数：690, Loss: 0.025117792189121246
训练次数：700, Loss: 0.06683751940727234
训练次数：710, Loss: 0.06454077363014221
训练次数：720, Loss: 0.050385113805532455
训练次数：730, Loss: 0.19740262627601624
训练次数：740, Loss: 0.039829567074775696
训练次数：750, Loss: 0.03300618752837181
训练次数：760, Loss: 0.1149192526936531
训练次数：770, Loss: 0.05153960734605789
训练次数：780, Loss: 0.05450139939785004
训练次数：790, Loss: 0.04730811342597008
训练次数：800, Loss: 0.04925490543246269
训练次数：810, Loss: 0.05748206377029419
训练次数：820, Loss: 0.042265962809324265
训练次数：830, Loss: 0.27231958508491516
训练次数：840, Loss: 0.1401989459991455
训练次数：850, Loss: 0.06666932255029678
训练次数：860, Loss: 0.0569089837372303
训练次数：870, Loss: 0.07759629189968109
训练次数：880, Loss: 0.04007067158818245
训练次数：890, Loss: 0.12527477741241455
训练次数：900, Loss: 0.07181073725223541
训练次数：910, Loss: 0.07000664621591568
训练次数：920, Loss: 0.08061229437589645
训练次数：930, Loss: 0.15596647560596466
训练次数：940, Loss: 0.08527728170156479
训练次数：950, Loss: 0.03341693431138992
训练次数：960, Loss: 0.07799782603979111
训练次数：970, Loss: 0.07180328667163849
训练次数：980, Loss: 0.05729212984442711
训练次数：990, Loss: 0.2315426617860794
训练次数：1000, Loss: 0.05516035109758377
训练次数：1010, Loss: 0.05661984533071518
训练次数：1020, Loss: 0.06509418785572052
